I (146188) TUNER: --- CSV START ---
I (146188) TUNER: Metadata,PID_0(P:3.60000 I:120.00000 D:0.00000),PID_1(P:3.60000 I:120.00000 D:0.00000)
I (146188) TUNER: Tick,DeltaTime_us,Reading_0,Setpoint_0,Output_0,int_0,Reading_1,Setpoint_1,Output_1,int_1
I (147858) TUNER: 166,1003,1330.87,1331.55,2.82,0.01,1392.72,1331.55,2.75,0.01
I (147868) TUNER: 167,997,1330.87,1339.57,2.82,0.01,1392.72,1339.57,2.75,0.01
I (147878) TUNER: 168,1003,1352.47,1347.59,2.82,0.01,1419.99,1347.59,2.71,0.01
I (147888) TUNER: 169,997,1352.47,1355.61,2.82,0.01,1419.99,1355.61,2.71,0.01
I (147898) TUNER: 170,1003,1390.37,1363.64,2.75,0.01,1461.56,1363.64,2.61,0.01
I (147908) TUNER: 171,997,1390.37,1371.66,2.75,0.01,1461.56,1371.66,2.61,0.01
I (147918) TUNER: 172,1003,1396.63,1379.68,2.79,0.01,1451.01,1379.68,2.70,0.01
I (147928) TUNER: 173,997,1396.63,1387.70,2.79,0.01,1451.01,1387.70,2.70,0.01
I (147938) TUNER: 174,1003,1417.97,1395.72,2.78,0.01,1428.83,1395.72,2.84,0.01
I (147948) TUNER: 175,997,1417.97,1403.74,2.78,0.01,1428.83,1403.74,2.84,0.01
I (147958) TUNER: 176,1003,1435.89,1411.76,2.78,0.01,1419.67,1411.76,2.95,0.01
I (147968) TUNER: 177,997,1435.89,1419.79,2.78,0.01,1419.67,1419.79,2.95,0.01
I (147978) TUNER: 178,1003,1424.46,1427.81,2.90,0.01,1443.27,1427.81,2.93,0.01
I (147988) TUNER: 179,997,1424.46,1435.83,2.90,0.01,1443.27,1435.83,2.93,0.01
I (147998) TUNER: 180,1003,1434.22,1443.85,2.94,0.01,1461.29,1443.85,2.93,0.01
I (148008) TUNER: 181,997,1434.22,1451.87,2.94,0.01,1461.29,1451.87,2.93,0.01
I (148018) TUNER: 182,1003,1472.95,1459.89,2.87,0.01,1485.15,1459.89,2.91,0.01
I (148028) TUNER: 183,997,1472.95,1467.91,2.87,0.01,1485.15,1467.91,2.91,0.01
I (148038) TUNER: 184,1003,1492.76,1475.94,2.86,0.01,1495.65,1475.94,2.94,0.01
I (148048) TUNER: 185,997,1492.76,1483.96,2.86,0.01,1495.65,1483.96,2.94,0.01
I (148058) TUNER: 186,1003,1505.18,1491.98,2.89,0.01,1492.03,1491.98,3.03,0.01
I (148068) TUNER: 187,996,1505.18,1500.00,2.89,0.01,1492.03,1500.00,3.03,0.01
I (148078) TUNER: 188,1004,1528.00,1500.00,2.83,0.01,1497.72,1500.00,3.04,0.01
I (148088) TUNER: 189,996,1528.00,1500.00,2.83,0.01,1497.72,1500.00,3.04,0.01
I (148098) TUNER: 190,1004,1561.71,1500.00,2.70,0.01,1504.85,1500.00,3.02,0.01
I (148108) TUNER: 191,996,1561.71,1500.00,2.70,0.01,1504.85,1500.00,3.02,0.01
I (148118) TUNER: 192,1004,1564.63,1500.00,2.67,0.01,1520.00,1500.00,2.96,0.01
I (148128) TUNER: 193,996,1564.63,1500.00,2.67,0.01,1520.00,1500.00,2.96,0.01
I (148138) TUNER: 194,1004,1561.82,1500.00,2.67,0.01,1551.88,1500.00,2.83,0.01
I (148148) TUNER: 195,996,1561.82,1500.00,2.67,0.01,1551.88,1500.00,2.83,0.01
I (148158) TUNER: 196,1004,1574.17,1500.00,2.61,0.01,1550.76,1500.00,2.82,0.01
I (148168) TUNER: 197,996,1574.17,1500.00,2.61,0.01,1550.76,1500.00,2.82,0.01
I (148178) TUNER: 198,1004,1590.92,1500.00,2.52,0.01,1579.06,1500.00,2.70,0.01
I (148188) TUNER: 199,996,1590.92,1500.00,2.52,0.01,1579.06,1500.00,2.70,0.01
I (148198) TUNER: 200,1004,1567.38,1500.00,2.59,0.01,1605.14,1500.00,2.58,0.01
I (148208) TUNER: 201,996,1567.38,1500.00,2.59,0.01,1605.14,1500.00,2.58,0.01
I (148218) TUNER: 202,1004,1583.77,1500.00,2.51,0.01,1589.93,1500.00,2.62,0.01
I (148228) TUNER: 203,996,1583.77,1500.00,2.51,0.01,1589.93,1500.00,2.62,0.01
I (148238) TUNER: 204,1004,1623.52,1500.00,2.34,0.01,1599.23,1500.00,2.56,0.01
I (148248) TUNER: 205,996,1623.52,1500.00,2.34,0.01,1599.23,1500.00,2.56,0.01
I (148258) TUNER: 206,1004,1657.89,1500.00,2.18,0.01,1613.55,1500.00,2.48,0.01
I (148268) TUNER: 207,996,1657.89,1500.00,2.18,0.01,1613.55,1500.00,2.48,0.01
I (148278) TUNER: 208,1004,1687.10,1500.00,2.03,0.01,1631.02,1500.00,2.38,0.01
I (148288) TUNER: 209,996,1687.10,1500.00,2.03,0.01,1631.02,1500.00,2.38,0.01
I (148298) TUNER: 210,1004,1640.89,1500.00,2.16,0.01,1634.68,1500.00,2.34,0.01
I (148308) TUNER: 211,996,1640.89,1500.00,2.16,0.01,1634.68,1500.00,2.34,0.01
I (148318) TUNER: 212,1004,1636.57,1500.00,2.14,0.01,1623.87,1500.00,2.35,0.01
I (148328) TUNER: 213,996,1636.57,1500.00,2.14,0.01,1623.87,1500.00,2.35,0.01
I (148338) TUNER: 214,1004,1650.29,1500.00,2.06,0.01,1629.82,1500.00,2.30,0.01
I (148348) TUNER: 215,996,1650.29,1500.00,2.06,0.01,1629.82,1500.00,2.30,0.01
I (148358) TUNER: 216,1004,1640.65,1500.00,2.06,0.01,1646.61,1500.00,2.20,0.01
I (148368) TUNER: 217,996,1640.65,1500.00,2.06,0.01,1646.61,1500.00,2.20,0.01
I (148378) TUNER: 218,1004,1644.10,1500.00,2.01,0.01,1630.83,1500.00,2.23,0.01
I (148388) TUNER: 219,996,1644.10,1500.00,2.01,0.01,1630.83,1500.00,2.23,0.01
I (148398) TUNER: 220,1004,1653.74,1500.00,1.94,0.01,1644.84,1500.00,2.14,0.01
I (148408) TUNER: 221,996,1653.74,1500.00,1.94,0.01,1644.84,1500.00,2.14,0.01
I (148418) TUNER: 222,1004,1652.86,1500.00,1.91,0.01,1665.50,1500.00,2.03,0.01
I (148428) TUNER: 223,996,1652.86,1500.00,1.91,0.01,1665.50,1500.00,2.03,0.01
I (148438) TUNER: 224,1004,1650.44,1500.00,1.88,0.01,1673.43,1500.00,1.96,0.01
I (148448) TUNER: 225,996,1650.44,1500.00,1.88,0.01,1673.43,1500.00,1.96,0.01
I (148458) TUNER: 226,1004,1645.92,1500.00,1.86,0.01,1682.36,1500.00,1.88,0.01
I (148468) TUNER: 227,996,1645.92,1500.00,1.86,0.01,1682.36,1500.00,1.88,0.01
I (148478) TUNER: 228,1004,1656.91,1500.00,1.78,0.01,1668.88,1500.00,1.89,0.01
I (148488) TUNER: 229,996,1656.91,1500.00,1.78,0.01,1668.88,1500.00,1.89,0.01
I (148498) TUNER: 230,1004,1685.46,1500.00,1.64,0.01,1660.68,1500.00,1.88,0.01
I (148508) TUNER: 231,996,1685.46,1500.00,1.64,0.01,1660.68,1500.00,1.88,0.01
I (148518) TUNER: 232,1004,1669.65,1500.00,1.65,0.01,1660.13,1500.00,1.84,0.01
I (148528) TUNER: 233,996,1669.65,1500.00,1.65,0.01,1660.13,1500.00,1.84,0.01
I (148538) TUNER: 234,1004,1665.59,1500.00,1.63,0.01,1663.98,1500.00,1.79,0.01
I (148548) TUNER: 235,996,1665.59,1500.00,1.63,0.01,1663.98,1500.00,1.79,0.01
I (148558) TUNER: 236,1004,1653.75,1500.00,1.63,0.01,1673.94,1500.00,1.71,0.01
I (148568) TUNER: 237,996,1653.75,1500.00,1.63,0.01,1673.94,1500.00,1.71,0.01
I (148578) TUNER: 238,1004,1665.75,1500.00,1.55,0.01,1676.75,1500.00,1.66,0.01
I (148588) TUNER: 239,996,1665.75,1500.00,1.55,0.01,1676.75,1500.00,1.66,0.01
I (148598) TUNER: 240,1004,1672.77,1500.00,1.48,0.01,1674.70,1500.00,1.62,0.01
I (148608) TUNER: 241,996,1672.77,1500.00,1.48,0.01,1674.70,1500.00,1.62,0.01
I (148618) TUNER: 242,1004,1640.60,1500.00,1.57,0.01,1675.64,1500.00,1.58,0.01
I (148628) TUNER: 243,996,1640.60,1500.00,1.57,0.01,1675.64,1500.00,1.58,0.01
I (148638) TUNER: 244,1004,1661.24,1500.00,1.45,0.01,1654.92,1500.00,1.62,0.01
I (148648) TUNER: 245,996,1661.24,1500.00,1.45,0.01,1654.92,1500.00,1.62,0.01
I (148658) TUNER: 246,1004,1675.18,1500.00,1.36,0.01,1636.62,1500.00,1.65,0.01
I (148668) TUNER: 247,996,1675.18,1500.00,1.36,0.01,1636.62,1500.00,1.65,0.01
I (148678) TUNER: 248,1004,1655.41,1500.00,1.39,0.01,1656.35,1500.00,1.54,0.01
I (148688) TUNER: 249,996,1655.41,1500.00,1.39,0.01,1656.35,1500.00,1.54,0.01
I (148698) TUNER: 250,1004,1628.43,1500.00,1.46,0.00,1663.53,1500.00,1.48,0.01
I (148708) TUNER: 251,996,1628.43,1500.00,1.46,0.00,1663.53,1500.00,1.48,0.01
I (148718) TUNER: 252,1004,1626.59,1500.00,1.44,0.00,1662.41,1500.00,1.44,0.01
I (148728) TUNER: 253,996,1626.59,1500.00,1.44,0.00,1662.41,1500.00,1.44,0.01
I (148738) TUNER: 254,1004,1640.59,1500.00,1.35,0.00,1657.22,1500.00,1.42,0.01
I (148748) TUNER: 255,996,1640.59,1500.00,1.35,0.00,1657.22,1500.00,1.42,0.01
I (148758) TUNER: 256,1004,1656.09,1500.00,1.26,0.00,1654.78,1500.00,1.39,0.01
I (148768) TUNER: 257,996,1656.09,1500.00,1.26,0.00,1654.78,1500.00,1.39,0.01
I (148778) TUNER: 258,1004,1647.86,1500.00,1.25,0.00,1672.59,1500.00,1.29,0.00
