00:48:41.008 [TUNER] --- CSV START ---
00:48:41.008 [TUNER] Metadata,PID_0(P:12.35200 I:445.32941 D:0.00000),PID_1(P:13.37410 I:478.63708 D:0.00000)
00:48:41.008 [TUNER] Tick,DeltaTime_us,Reading_0,Setpoint_0,Output_0,int_0,Reading_1,Setpoint_1,Output_1,int_1
00:48:43.551 [TUNER] 127,1000,1005.48,1016.00,2.21,0.00,1003.39,1016.00,2.68,0.00
00:48:43.592 [TUNER] 128,1000,1005.48,1024.00,2.21,0.00,1003.39,1024.00,2.68,0.00
00:48:43.594 [TUNER] 129,1000,979.62,1032.00,2.79,0.00,1007.16,1032.00,2.89,0.00
00:48:43.636 [TUNER] 130,1000,979.62,1040.00,2.79,0.00,1007.16,1040.00,2.89,0.00
00:48:43.637 [TUNER] 131,1000,993.30,1048.00,2.89,0.00,1023.92,1048.00,2.92,0.00
00:48:43.678 [TUNER] 132,1000,993.30,1056.00,2.89,0.00,1023.92,1056.00,2.92,0.00
00:48:43.679 [TUNER] 133,1000,1011.12,1064.00,2.93,0.00,1021.87,1064.00,3.21,0.00
00:48:43.720 [TUNER] 134,1000,1011.12,1072.00,2.93,0.00,1021.87,1072.00,3.21,0.00
00:48:43.720 [TUNER] 135,1000,1023.65,1080.00,3.04,0.00,1035.69,1080.00,3.30,0.00
00:48:43.721 [TUNER] 136,1000,1023.65,1088.00,3.04,0.00,1035.69,1088.00,3.30,0.00
00:48:43.764 [TUNER] 137,1000,1042.27,1096.00,3.07,0.00,1075.95,1096.00,3.01,0.00
00:48:43.764 [TUNER] 138,1000,1042.27,1104.00,3.07,0.00,1075.95,1104.00,3.01,0.00
00:48:43.806 [TUNER] 139,1000,1120.73,1112.00,2.30,0.00,1111.60,1112.00,2.76,0.00
00:48:43.806 [TUNER] 140,1000,1120.73,1120.00,2.30,0.00,1111.60,1120.00,2.76,0.00
00:48:43.849 [TUNER] 141,1000,1195.53,1128.00,1.53,0.00,1155.58,1128.00,2.38,0.00
00:48:43.850 [TUNER] 142,1000,1254.77,1136.00,0.86,0.00,1209.09,1136.00,1.74,0.00
00:48:43.890 [TUNER] 143,1000,1254.77,1144.00,0.86,0.00,1209.09,1144.00,1.74,0.00
00:48:43.891 [TUNER] 144,1000,1318.53,1152.00,0.14,0.00,1254.48,1152.00,1.27,0.00
00:48:43.932 [TUNER] 145,1000,1318.53,1160.00,0.14,0.00,1254.48,1160.00,1.27,0.00
00:48:43.932 [TUNER] 146,1000,1393.28,1168.00,-0.78,0.00,1249.26,1168.00,1.49,0.00
00:48:43.980 [TUNER] 147,1000,1393.28,1176.00,-0.78,0.00,1249.26,1176.00,1.49,0.00
00:48:43.980 [TUNER] 148,1000,1389.52,1184.00,-0.70,0.00,1203.86,1184.00,2.31,0.00
00:48:44.016 [TUNER] 149,1000,1389.52,1192.00,-0.70,0.00,1203.86,1192.00,2.31,0.00
00:48:44.016 [TUNER] 150,1000,1279.98,1200.00,0.80,0.00,1186.43,1200.00,2.78,0.00
00:48:44.064 [TUNER] 151,1000,1279.98,1208.00,0.80,0.00,1186.43,1208.00,2.78,0.00
00:48:44.065 [TUNER] 152,1000,1180.33,1216.00,2.27,0.00,1194.83,1216.00,2.92,0.00
00:48:44.066 [TUNER] 153,1000,1180.33,1224.00,2.27,0.00,1194.83,1224.00,2.92,0.00
00:48:44.102 [TUNER] 154,1000,1146.99,1232.00,2.98,0.00,1201.55,1232.00,3.09,0.00
00:48:44.102 [TUNER] 155,1000,1146.99,1240.00,2.98,0.00,1201.55,1240.00,3.09,0.00
00:48:44.145 [TUNER] 156,1000,1122.04,1248.00,3.61,0.00,1193.18,1248.00,3.48,0.00
00:48:44.145 [TUNER] 157,1000,1122.04,1256.00,3.61,0.00,1193.18,1256.00,3.48,0.00
00:48:44.187 [TUNER] 158,1000,1133.01,1264.00,3.80,0.00,1207.09,1264.00,3.58,0.00
00:48:44.187 [TUNER] 159,1000,1133.01,1272.00,3.80,0.00,1207.09,1272.00,3.58,0.00
00:48:44.231 [TUNER] 160,1000,1152.09,1280.00,3.90,0.00,1235.41,1280.00,3.48,0.00
00:48:44.231 [TUNER] 161,1000,1152.09,1288.00,3.90,0.00,1235.41,1288.00,3.48,0.00
00:48:44.273 [TUNER] 162,1000,1196.56,1296.00,3.65,0.00,1259.78,1296.00,3.41,0.00
00:48:44.273 [TUNER] 163,1000,1196.56,1304.00,3.65,0.00,1259.78,1304.00,3.41,0.00
