04:12:00.810 [TUNER] --- CSV START ---
04:12:00.810 [TUNER] Metadata,PID_0(P:12.35200 I:445.32941 D:0.00000),PID_1(P:13.37410 I:478.63708 D:0.00000)
04:12:00.811 [TUNER] Tick,DeltaTime_us,Reading_0,Setpoint_0,Output_0,int_0,Reading_1,Setpoint_1,Output_1,int_1
04:12:04.128 [TUNER] 166,1000,1479.65,1495.50,3.31,0.00,1471.89,1495.50,3.68,0.00
04:12:04.129 [TUNER] 167,1000,1479.65,1504.50,3.31,0.00,1471.89,1504.50,3.68,0.00
04:12:04.161 [TUNER] 168,1000,1505.21,1513.51,3.24,0.00,1489.63,1513.51,3.72,0.00
04:12:04.162 [TUNER] 169,1000,1505.21,1522.52,3.24,0.00,1489.63,1522.52,3.72,0.00
04:12:04.198 [TUNER] 170,1000,1518.77,1531.53,3.33,0.00,1504.74,1531.53,3.80,0.00
04:12:04.198 [TUNER] 171,1000,1518.77,1540.54,3.33,0.00,1504.74,1540.54,3.80,0.00
04:12:04.232 [TUNER] 172,1000,1515.50,1549.55,3.64,0.00,1528.65,1549.55,3.76,0.00
04:12:04.268 [TUNER] 173,1000,1515.50,1558.56,3.64,0.00,1528.65,1558.56,3.76,0.00
04:12:04.269 [TUNER] 174,1000,1530.60,1567.57,3.73,0.00,1541.58,1567.57,3.87,0.00
04:12:04.305 [TUNER] 175,1000,1530.60,1576.58,3.73,0.00,1541.58,1576.58,3.87,0.00
04:12:04.306 [TUNER] 176,1000,1551.93,1585.59,3.73,0.00,1589.29,1585.59,3.49,0.00
04:12:04.337 [TUNER] 177,1000,1551.93,1594.59,3.73,0.00,1589.29,1594.59,3.49,0.00
04:12:04.373 [TUNER] 178,1000,1577.13,1603.60,3.69,0.00,1623.65,1603.60,3.27,0.00
04:12:04.374 [TUNER] 179,1000,1577.13,1612.61,3.69,0.00,1623.65,1612.61,3.27,0.00
04:12:04.411 [TUNER] 180,1000,1610.12,1621.62,3.53,0.00,1652.85,1621.62,3.11,0.00
04:12:04.412 [TUNER] 181,1000,1610.12,1630.63,3.53,0.00,1652.85,1630.63,3.11,0.00
