00:06:54.936 [TUNER] --- CSV START ---
00:06:54.937 [TUNER] Metadata,Profile(Accel:12.0 Jerk:100.0),PID_0(P:10.47029 I:327.93915 D:0.00000),PID_1(P:11.35157 I:352.46927 D:0.00000)
00:06:54.938 [TUNER] Tick,DeltaTime_us,Reading_0,Setpoint_0,Output_0,int_0,Reading_1,Setpoint_1,Output_1,int_1
00:06:59.119 [TUNER] 208,1000,1880.78,1703.70,1.31,0.00,1792.82,1703.70,2.48,0.00
00:06:59.152 [TUNER] 209,1000,1880.78,1711.40,1.31,0.00,1792.82,1711.40,2.48,0.00
00:06:59.154 [TUNER] 210,1000,1841.37,1719.00,1.82,0.00,1877.52,1719.00,1.60,0.00
00:06:59.186 [TUNER] 211,1000,1841.37,1726.50,1.82,0.00,1877.52,1726.50,1.60,0.00
00:06:59.225 [TUNER] 212,1000,1797.81,1733.90,2.40,0.00,1895.45,1733.90,1.46,0.00
00:06:59.227 [TUNER] 213,1000,1797.81,1741.20,2.40,0.00,1895.45,1741.20,1.46,0.00
00:06:59.258 [TUNER] 214,1000,1733.75,1748.40,3.25,0.00,1866.84,1748.40,1.88,0.00
00:06:59.259 [TUNER] 215,1000,1733.75,1755.50,3.25,0.00,1866.84,1755.50,1.88,0.00
00:06:59.293 [TUNER] 216,1000,1720.30,1762.50,3.58,0.00,1756.34,1762.50,3.31,0.00
00:06:59.294 [TUNER] 217,1000,1720.30,1769.40,3.58,0.00,1756.34,1769.40,3.31,0.00
00:06:59.329 [TUNER] 218,1000,1721.57,1776.20,3.76,0.00,1717.76,1776.20,3.96,0.00
00:06:59.365 [TUNER] 219,1000,1721.57,1782.90,3.76,0.00,1717.76,1782.90,3.96,0.00
00:06:59.366 [TUNER] 220,1000,1715.72,1789.50,4.02,0.00,1710.95,1789.50,4.26,0.00
00:06:59.399 [TUNER] 221,1000,1715.72,1796.00,4.02,0.00,1710.95,1796.00,4.26,0.00
00:06:59.399 [TUNER] 222,1000,1724.77,1802.40,4.13,0.00,1705.50,1802.40,4.55,0.00
00:06:59.432 [TUNER] 223,1000,1724.77,1808.70,4.13,0.00,1705.50,1808.70,4.55,0.00
