22:17:38.447 [MCH] --- CSV START ---
22:17:38.448 [MCH] Metadata,Voltage:0.5V,Duration:2000ms
22:17:38.448 [MCH] Point,DeltaTime_us,Vel_Left_m_s,Vel_Right_m_s
22:17:58.400 [MCH] 43,10000,2.027,2.031
22:17:58.401 [MCH] 44,10000,2.022,2.041
22:17:58.446 [MCH] 45,10000,2.029,2.042
22:17:58.446 [MCH] 46,10000,2.026,2.044
22:17:58.446 [MCH] 47,10000,2.028,2.039
22:17:58.486 [MCH] 48,10000,2.028,2.039
22:17:58.486 [MCH] 49,10000,2.022,2.038
22:17:58.530 [MCH] 50,10000,2.031,2.046
22:17:58.530 [MCH] 51,10000,2.023,2.039
22:17:58.572 [MCH] 52,10000,2.031,2.029
22:17:58.573 [MCH] 53,10000,2.027,2.038
22:17:58.614 [MCH] 54,10000,2.031,2.036
22:17:58.615 [MCH] 55,10000,2.025,2.039
22:17:58.655 [MCH] 56,10039,2.029,2.035
22:17:58.656 [MCH] 57,9961,2.029,2.045
22:17:58.698 [MCH] 58,10000,2.026,2.040
22:17:58.699 [MCH] 59,10000,2.038,2.043
22:17:58.741 [MCH] 60,10000,2.028,2.036
22:17:58.742 [MCH] 61,10000,2.031,2.030
22:17:58.784 [MCH] 62,10000,2.029,2.034
22:17:58.785 [MCH] 63,10000,2.027,2.042
22:17:58.785 [MCH] 64,10000,2.031,2.037
22:17:58.827 [MCH] 65,10000,2.029,2.030
22:17:58.870 [MCH] 66,10000,2.029,2.038
22:17:58.871 [MCH] 67,10000,2.030,2.035
22:17:58.872 [MCH] 68,10000,2.025,2.031
22:17:58.911 [MCH] 69,10000,2.029,2.031
22:17:58.911 [MCH] 70,10000,2.027,2.041
22:17:58.954 [MCH] 71,10000,2.028,2.035
22:17:58.955 [MCH] 72,10000,2.031,2.043
22:17:58.999 [MCH] 73,10039,2.031,2.037
22:17:58.999 [MCH] 74,9961,2.030,2.035
22:17:59.038 [MCH] 75,10000,2.028,2.037
22:17:59.038 [MCH] 76,10000,2.034,2.045
22:17:59.081 [MCH] 77,10000,2.027,2.035
