22:33:24.926 [MCH] --- CSV START ---
22:33:24.926 [MCH] Metadata,Voltage:0.5V,Duration:1000ms
22:33:24.926 [MCH] Point,DeltaTime_us,Vel_Left_m_s,Vel_Right_m_s
22:36:27.324 MPASS
22:36:27.489 [MCH] Running step 4/13: Applying 3.0V for 1000 ms...
22:36:28.567 [MCH] --- CSV START ---
22:36:28.567 [MCH] Metadata,Voltage:3.0V,Duration:1000ms
22:36:28.568 [MCH] Point,DeltaTime_us,Vel_Left_m_s,Vel_Right_m_s
22:36:28.568 [MCH] 0,0,0.029,0.026
22:36:28.591 [MCH] 1,9569,0.100,0.091
22:36:28.591 [MCH] 2,9997,0.181,0.159
22:36:28.633 [MCH] 3,9998,0.303,0.259
22:36:28.633 [MCH] 4,10000,0.434,0.380
22:36:28.633 [MCH] 5,10000,0.728,0.620
22:36:28.677 [MCH] 6,10000,0.824,0.836
22:36:28.679 [MCH] 7,10000,0.874,0.848
22:36:28.720 [MCH] 8,10000,0.969,0.892
22:36:28.720 [MCH] 9,10000,1.016,0.928
22:36:28.764 [MCH] 10,10000,1.110,1.034
22:36:28.765 [MCH] 11,10000,1.249,1.142
22:36:28.806 [MCH] 12,10000,1.306,1.191
22:36:28.806 [MCH] 13,10000,1.413,1.326
22:36:28.848 [MCH] 14,10000,1.464,1.363
22:36:28.848 [MCH] 15,10000,1.536,1.403
22:36:28.891 [MCH] 16,10000,1.696,1.498
22:36:28.933 [MCH] 17,10000,1.693,1.529
22:36:28.933 [MCH] 18,10000,1.763,1.580
22:36:28.934 [MCH] 19,10000,1.846,1.635
22:36:28.977 [MCH] 20,10000,1.884,1.675
22:36:28.978 [MCH] 21,10000,1.990,1.774
22:36:28.978 [MCH] 22,10000,1.984,1.794
22:36:29.017 [MCH] 23,10000,2.030,1.869
22:36:29.017 [MCH] 24,10000,2.053,1.893
22:36:29.062 [MCH] 25,10000,2.081,1.953
22:36:29.063 [MCH] 26,10000,2.122,1.968
22:36:29.101 [MCH] 27,10000,2.153,2.021
22:36:29.101 [MCH] 28,10000,2.216,2.044
22:36:29.144 [MCH] 29,10000,2.241,2.089
22:36:29.146 [MCH] 30,10000,2.286,2.106
22:36:29.188 [MCH] 31,10000,2.299,2.148
22:36:29.188 [MCH] 32,10000,2.358,2.179
22:36:29.230 [MCH] 33,10000,2.361,2.211
22:36:29.230 [MCH] 34,10000,2.383,2.235
22:36:29.272 [MCH] 35,10000,2.417,2.275
22:36:29.272 [MCH] 36,10000,2.483,2.297
22:36:29.315 [MCH] 37,10000,2.478,2.321
22:36:29.316 [MCH] 38,10000,2.484,2.348
